INFO 2026-01-27 15:51:02,085 autoreload Watching for file changes with StatReloader
WARNING 2026-01-27 15:51:07,069 log Not Found: /
WARNING 2026-01-27 15:51:07,070 basehttp "GET / HTTP/1.1" 404 10475
WARNING 2026-01-27 15:51:07,166 log Not Found: /favicon.ico
WARNING 2026-01-27 15:51:07,167 basehttp "GET /favicon.ico HTTP/1.1" 404 10526
INFO 2026-01-27 15:51:11,501 basehttp "GET /admin HTTP/1.1" 301 0
INFO 2026-01-27 15:51:12,780 basehttp "GET /admin/ HTTP/1.1" 200 8746
INFO 2026-01-27 15:51:12,801 basehttp "GET /static/admin/css/dashboard.css HTTP/1.1" 304 0
INFO 2026-01-27 15:51:12,802 basehttp "GET /static/admin/css/base.css HTTP/1.1" 304 0
INFO 2026-01-27 15:51:12,802 basehttp "GET /static/admin/css/dark_mode.css HTTP/1.1" 304 0
INFO 2026-01-27 15:51:12,802 basehttp "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 304 0
INFO 2026-01-27 15:51:12,803 basehttp "GET /static/admin/css/responsive.css HTTP/1.1" 304 0
INFO 2026-01-27 15:51:12,803 basehttp "GET /static/admin/js/theme.js HTTP/1.1" 304 0
INFO 2026-01-27 15:51:12,816 basehttp "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 304 0
INFO 2026-01-27 15:51:12,821 basehttp "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 304 0
INFO 2026-01-27 15:51:12,821 basehttp "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 304 0
WARNING 2026-01-27 15:53:04,540 log Unauthorized: /get_username
WARNING 2026-01-27 15:53:04,541 basehttp "GET /get_username HTTP/1.1" 401 58
WARNING 2026-01-27 15:53:05,583 log Unauthorized: /get_username
WARNING 2026-01-27 15:53:05,583 basehttp "GET /get_username HTTP/1.1" 401 58
INFO 2026-01-27 15:53:05,896 basehttp "GET /book_list/3/?page=1 HTTP/1.1" 200 9167
INFO 2026-01-27 15:53:06,033 basehttp "GET //img/book_img/tech-girl_c0QVToG.jpg HTTP/1.1" 200 285670
INFO 2026-01-27 15:53:06,035 basehttp "GET //img/book_img/pic_tPWFXbK.jpg HTTP/1.1" 200 22784
INFO 2026-01-27 15:53:06,037 basehttp "GET //img/book_img/design_vii_2KzZsk1.jpg HTTP/1.1" 200 101680
INFO 2026-01-27 15:53:06,038 basehttp "GET //img/profile_img/pic1_MnEFItO.jpg HTTP/1.1" 200 8696
INFO 2026-01-27 15:53:06,038 basehttp "GET //img/profile_img/pic_EieShe9.jpg HTTP/1.1" 200 22784
WARNING 2026-01-27 15:53:07,601 log Unauthorized: /get_username
WARNING 2026-01-27 15:53:07,602 basehttp "GET /get_username HTTP/1.1" 401 58
WARNING 2026-01-27 15:53:11,621 log Unauthorized: /get_username
WARNING 2026-01-27 15:53:11,621 basehttp "GET /get_username HTTP/1.1" 401 58
INFO 2026-01-27 15:53:12,526 basehttp "OPTIONS /token/ HTTP/1.1" 200 0
INFO 2026-01-27 15:53:13,817 basehttp "POST /token/ HTTP/1.1" 200 483
INFO 2026-01-27 15:53:13,826 basehttp "OPTIONS /get_username HTTP/1.1" 200 0
INFO 2026-01-27 15:53:13,831 basehttp "OPTIONS /book_list/3/?page=1 HTTP/1.1" 200 0
INFO 2026-01-27 15:53:14,828 basehttp "GET /get_username HTTP/1.1" 200 18
INFO 2026-01-27 15:53:15,253 basehttp "GET /book_list/3/?page=1 HTTP/1.1" 200 9167
INFO 2026-01-27 15:53:16,133 basehttp "OPTIONS /notifications/9/?page=1 HTTP/1.1" 200 0
INFO 2026-01-27 15:53:17,204 basehttp "GET /notifications/9/?page=1 HTTP/1.1" 200 52
